BJD_TDB,Source_AMag_T1,,,
2460874.7768328,12.7671,,,
2460874.7881066,12.8993,,,
2460874.7993346,13.1296,,,
2460874.8104700,13.4004,,,
2460874.8216981,13.4120,,,
2460874.8329031,13.1528,,,
2460874.8441072,12.8755,,,
2460874.8533440,12.7548,,,
2460874.8645020,12.6629,,2460874.816,0.000427497
,,,2460878.802,0.000483279
2460878.7533371,12.6130,,2460894.737,0.000347769
2460878.7646105,12.6988,,2460906.69,0.000934975
2460878.7758844,12.8349,,2460906.863,0.000354109
2460878.7870655,13.0418,,2460910.847,0.000903343
2460878.7983160,13.1944,,2460911.713,0.00076543
2460878.8095670,13.1303,,2460915.871,0.000448199
2460878.8208179,12.9386,,2460920.894,0.000565462
2460878.8319757,12.7712,,2460928.689,0.000510665
2460878.8431108,12.6930,,,
,,,,
2460894.6917270,12.6096,,,
2460894.7029080,12.7011,,,
2460894.7140205,12.8487,,,
2460894.7251091,13.0396,,,
2460894.7361744,13.1699,,,
2460894.7474024,13.0584,,,
2460894.7586293,12.8580,,,
2460894.7698110,12.7374,,,
2460894.7809460,12.6397,,,
,,,,
2460906.6414240,12.7128,,,
2460906.6526274,12.7527,,,
2460906.6638791,12.9479,,,
2460906.6750590,13.1793,,,
2460906.6862412,13.4503,,,
2460906.6974208,13.3536,,,
2460906.7086017,13.1285,,,
2460906.7198519,12.9042,,,
2460906.7310325,12.7173,,,
,,,,
2460906.8156409,12.6168,,,
2460906.8268248,12.6990,,,
2460906.8380023,12.8241,,,
2460906.8492760,13.0341,,,
2460906.8605959,13.1640,,,
2460906.8719391,13.0894,,,
2460906.8831922,12.9064,,,
2460906.8945316,12.7416,,,
2460906.9057821,12.6385,,,
,,,,
2460910.7969066,12.6908,,,
2460910.8081424,12.7720,,,
2460910.8194852,12.9091,,,
2460910.8307132,13.1322,,,
2460910.8418243,13.4378,,,
2460910.8530283,13.4053,,,
2460910.8642790,13.1541,,,
2460910.8754135,12.9105,,,
2460910.8866872,12.7435,,,
,,,,
2460911.6654093,12.6093,,,
2460911.6765897,12.6504,,,
2460911.6879102,12.8302,,,
2460911.6991599,12.9675,,,
2460911.7104108,13.1369,,,
2460911.7215918,13.0977,,,
2460911.7328430,12.8863,,,
2460911.7440931,12.7548,,,
2460911.7553435,12.6361,,,
,,,,
2460915.8277043,12.6231,,,
2460915.8390240,12.7186,,,
2460915.8502774,12.8800,,,
2460915.8614547,13.0766,,,
2460915.8726126,13.1501,,,
2460915.8837468,13.0078,,,
2460915.8948820,12.8166,,,
2460915.9060161,12.6871,,,
2460915.9171970,12.6166,,,
,,,,
2460920.8444404,12.6661,,,
2460920.8556900,12.7529,,,
2460920.8670094,12.9115,,,
2460920.8782370,13.1621,,,
2460920.8894628,13.4409,,,
2460920.9007362,13.4296,,,
2460920.9120553,13.1227,,,
2460920.9233056,12.8900,,,
2460920.9345554,12.7605,,,
,,,,
2460928.6429502,12.5981,,,
2460928.6540838,12.6805,,,
2460928.6651258,12.8188,,,
2460928.6761681,12.9866,,,
2460928.6872785,13.1210,,,
2460928.6983207,13.0628,,,
2460928.7093623,12.8629,,,
2460928.7204038,12.7135,,,
2460928.7314460,12.6106,,,
