BJD_TDB,Source_AMag_T1,,,
2460886.7298132,13.1542,,,
2460886.7411325,13.2944,,,
2460886.7523833,13.4636,,,
2460886.7637032,13.6539,,,
2460886.7748845,13.6652,,,
2460886.7860881,13.4740,,,
2460886.7972456,13.2769,,,
2460886.8085887,13.1753,,,
2460886.8199314,13.1222,,2460886.77,0.000922655
,,,2460891.792,0.000927436
2460891.7424490,13.1700,,2460902.879,0.000515352
2460891.7535602,13.2740,,2460903.746,0.000624558
2460891.7646717,13.4202,,2460906.691,0.000591544
2460891.7757604,13.6380,,2460906.863,0.000604299
2460891.7869646,13.9959,,2460910.847,0.000478847
2460891.7981690,13.9927,,2460911.714,0.000790684
2460891.8093965,13.6673,,2460915.87,0.000500432
2460891.8206473,13.3974,,2460920.895,0.000653778
2460891.8318283,13.2374,,,
,,,,
2460902.8384660,13.2747,,,
2460902.8495767,13.3859,,,
2460902.8606884,13.6192,,,
2460902.8718692,13.9163,,,
2460902.8830497,13.9905,,,
2460902.8943001,13.7135,,,
2460902.9055502,13.4562,,,
2460902.9167314,13.2604,,,
2460902.9279351,13.1709,,,
,,,,
2460903.7070258,13.1535,,,
2460903.7181837,13.2818,,,
2460903.7293411,13.4717,,,
2460903.7383001,13.6053,,,
2460903.7495275,13.6476,,,
2460903.7607085,13.4805,,,
2460903.7719592,13.2918,,,
2460903.7830937,13.1557,,,
2460903.7943210,13.1038,,,
,,,,
2460906.6500351,13.2558,,,
2460906.6612621,13.4246,,,
2460906.6724430,13.6408,,,
2460906.6836244,13.9566,,,
2460906.6948055,13.9618,,,
2460906.7059868,13.7088,,,
2460906.7171671,13.4907,,,
2460906.7284172,13.2556,,,
2460906.7396672,13.1579,,,
,,,,
2460906.8129555,13.0957,,,
2460906.8242066,13.1527,,,
2460906.8353879,13.2910,,,
2460906.8466609,13.4786,,,
2460906.8579106,13.6521,,,
2460906.8692529,13.6336,,,
2460906.8805038,13.4563,,,
2460906.8918466,13.2664,,,
2460906.9031660,13.1451,,,
,,,,
2460910.8055497,13.2465,,,
2460910.8168232,13.3754,,,
2460910.8281197,13.6125,,,
2460910.8392317,13.9092,,,
2460910.8504123,14.0154,,,
2460910.8616636,13.7251,,,
2460910.8727979,13.4688,,,
2460910.8840945,13.2916,,,
2460910.8952295,13.1789,,,
,,,,
2460911.6739736,13.1448,,,
2460911.6852250,13.2587,,,
2460911.6964750,13.4383,,,
2460911.7077951,13.6247,,,
2460911.7189766,13.6319,,,
2460911.7302266,13.4528,,,
2460911.7414780,13.2629,,,
2460911.7527282,13.1549,,,
2460911.7638860,13.1122,,,
,,,,
2460915.8250885,13.0921,,,
2460915.8363388,13.1848,,,
2460915.8476582,13.3616,,,
2460915.8588393,13.5487,,,
2460915.8699966,13.6354,,,
2460915.8811544,13.5540,,,
2460915.8922888,13.3474,,,
2460915.9034233,13.1972,,,
2460915.9145819,13.1323,,,
,,,,
2460920.8530742,13.2039,,,
2460920.8643247,13.3705,,,
2460920.8756437,13.6062,,,
2460920.8868006,13.9092,,,
2460920.8981100,13.9928,,,
2460920.9093701,13.7282,,,
2460920.9206895,13.4277,,,
2460920.9318701,13.2702,,,
2460920.9431895,13.1675,,,
